row,author,species,numInd,p/i,continent,country,state,city,lat,long,year,month,day,biosamp,sra,identifier
92, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452778,SRR2859184,Machado:Bowdoin:Maine:North_America:Oct:01:2011:F_15_1
93, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452779,SRR2859185,Machado:Bowdoin:Maine:North_America:Oct:01:2011:F_17_1
94, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452781,SRR2859187,Machado:Bowdoin:Maine:North_America:Oct:01:2011:F_21_1
95, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452782,SRR2859188,Machado:Bowdoin:Maine:North_America:Oct:01:2011:F_23_1
96, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452773,SRR2859189,Machado:Bowdoin:Maine:North_America:Oct:01:2011:F_3_1
97, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452774,SRR2859190,Machado:Bowdoin:Maine:North_America:Oct:01:2011:F_5_1
98, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452775,SRR2859191,Machado:Bowdoin:Maine:North_America:Oct:01:2011:F_7_1
99, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452776,SRR2859192,Machado:Bowdoin:Maine:North_America:Oct:01:2011:F_9_1
100, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452948,SRR2859193,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:G_1_1
101, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452867,SRR2859194,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_10_1
102, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452953,SRR2859195,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:G_11_1
103, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452954,SRR2859197,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:G_13_1
104, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452869,SRR2859198,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_14_1
