pop1,pop2,nei
FR_Got_15_48,Machado:Linvilla:Pennsylania:North_America:Jul:01:2010:ECsimPA7_2010_pool_of_65_individuals,0.157419316534302
FR_Got_15_48,Machado:Linvilla:Pennsylania:North_America:Sep:01:2010:ECsimPA9_2010_pool_of_50_individuals,0.15163648571292
FR_Got_15_48,PT_Rec_15_16,0.133829645331556
FR_Got_15_48,Sedghifar:Conway:South_Carolina:North_America:Sep:NA:2011:D._sim_South_Carolina,0.291350261952136
FR_Got_15_48,Sedghifar:Fairfield:Maine:North_America:Sep:NA:2011:D._sim_Maine,0.240604202300113
FR_Got_15_48,Sedghifar:Miami:Florida:North_America:Sep:NA:2011:Florida,0.235232878915918
FR_Got_15_48,Sedghifar:Panama_City:Panama:North_America:Jan:NA:2012:D._sim_Panama,0.23045732446574
FR_Got_15_48,Sedghifar:Princeton:New_Jersey:North_America:Sep:NA:2011:D._sim_New_Jersey,0.222841795782644
FR_Got_15_48,Sedghifar:Providence:Rhode_Island:North_America:Sep:NA:2011:D.sim_Rhode_Island,0.188783798224047
FR_Got_15_48,Sedghifar:Raleigh:North_Carolina:North_America:Sep:NA:2011:D._sim_North_Carolina,0.224307404356616
FR_Got_15_48,Sedghifar:Richmod:Virginia:North_America:Sep:NA:2011:D._sim_Virginia,0.225207021527472
FR_Got_15_48,Sedghifar:Savannah:Georgia:North_America:Sep:NA:2011:D._sim_Georgia,0.237891099776142
FR_Got_15_48,Kenya.Nairobi.2006.NA,0.256263580178502
FR_Got_15_48,Madagascar.Joffreville.2002.NA,0.243775061432269
FR_Got_15_48,Israel.NFS.2014.Oct,0.187363526581744
FR_Got_15_48,Israel.SFS.2014.Oct,0.179227560218738
FR_Got_15_48,USA.Linvilla.2011.Aug,0.439278862531357
FR_Got_15_48,USA.Linvilla.2011.Sep,0.39356886404318
FR_Got_15_48,USA.Charlottesville.2010.Sep,0.353511086243302
FR_Got_15_48,USA.Bowdoin.2011.Oct,0.262569647789983
FR_Got_15_48,USA.Homestead.2011.May,0.383077609753577
FR_Got_15_48,USA.Linvilla.2011.Nov,0.475083849105362
FR_Got_15_48,USA.Zuma.2012.Feb,0.149916260779541
IT_Mez_15_43,Barghi:Tallahassee:Florida:North_America:Nov:NA:2010:Dsim_Fl_Base_1,0.113393264033796
IT_Mez_15_43,ES_Gim_14_34,0.132773344284915
IT_Mez_15_43,ES_Gim_14_35,0.133931789343343
IT_Mez_15_43,ES_Gim_16_33,0.104237168229886
IT_Mez_15_43,ES_Pur_16_35,0.124540449332372
IT_Mez_15_43,FR_Got_15_48,0.156418853542244
IT_Mez_15_43,IT_Mez_15_43,0
IT_Mez_15_43,IT_Mez_15_44,0.0716934154981143
